100、郑欣宜  罚你
99、叶颖  你哭完该笑了 collected
98、AGA  Citypop
97、汉堡黄  你出现
96、焦迈奇  3189 skip
95、房东的猫  一则废话
94、冯允谦  因爱之罪名
93、海妖  她 collected
92、吕彦良  小心温差
91、神纳姆乐队  月光歌舞厅
90、皇后皮箱  云烟
89、汪川/陈陈陈  Winter Fever
88、春艳/李权哲  深呼吸
87、TangoZ  中间人
86、冰球乐团/Limi  摇啊摇
85、尤瑞卡  Monkeys
84、GOINDOWN  晚风
83、瀚海澜汐  永远都做着夏天的梦
82、蛙池  小唐
81、Me and My Sandcastle  Bentobox
80、雷擎  Real World
79、行草  歌舞御前町
78、ETA乐队  U Will (哟喂)
77、来吧！焙焙  丰盈与匮乏的孩子
76、鹤The Crane  Unique Design
75、结冰水  Darydream Glows
74、逃跑计划  你的爱情
73、王嘉尔  LMLY
72、NIO  Crystal Sharp
71、多多/以捷  走建国路回家但后座少ㄌ泥
70、超人田田  抚琴路口
69、Kafe.Hu/功夫胖/刘聪  宇宙中心
68、美秀集团  战斗菸
67、魏如萱/鲜于贞娥  卖花的人
66、宋念宇  见好就放
65、李健  门
64、蔡健雅  Bluebirds
63、I Mean Us  Run Ran Run
62、牙龈出血  解放日
61、郭采洁  NaKuNa
60、袁娅维  神预言
59、热写生  熟睡像座山脉
58、刘柏辛  有吗炒面
57、恐龙的皮  Jurassic Ride
56、Osean  小林绿
55、林以乐  沙漠玫瑰与骆驼
54、徐佳莹  雏形
53、13月终了  你们长得蛮像的
52、施鑫文月  竹林摇
51、余佩真  日光树影
50、陈粒  巨雾
49、沉默演讲  这璀璨又迷人的星空却让人看不透，就像是Ta
48、11  当太阳落下
47、疯医  愿我们在黑暗的另一边相见
46、AR刘夫阳  嘘
45、新学校废物合唱团  珍妮要走
44、问题总部/金其禾  Song about Soul
43、功夫胖  一代
42、艾怡良  以灰之名
41、蓝莓乐队  As sweet as a Blueberry
40、Gareth.T  劲浪漫 超温馨
39、YELLOW黃宣/Vivian  Paradigm
38、王以太/艾热  末
37、发梦茱莉  你想要的样子我都没有
36、林明福/雅维茉芮/DJ Code Wu  瓦旦阿公的泰雅古训
35、浅堤/HUSH  礼物
34、昨夜派对  方舟遗留物
33、喜辰晨/张瑛兰/林华劲  星期一的歌
32、Yufu  Our Vibration
31、熊仔  88BARS
30、鱼丁糸  在世界的尽头大声地说我恨你
29、王菀之  the Pink Room
28、Fishdoll  Superwave/当站在大海面前
27、玩山乐团&饶鹏程/罗智丰/HBC  欢乐岛
26、裘德  火之涂写
25、乩童秩序  东宁夜
24、声音玩具  昨夜我飞向遥远的火星
23、KillaTreeZ/Illusional Flavor  无尽
22、潮州土狗  反䓯大使
21、卧轨的火车  Song of the Stars
20、马条  敕勒川
19、Newyounggo/哀四杏  还有比这还社区的drill吗
18、周士爵/也是福/喜辰晨  珍重
17、武勇恒  On Starboard 星板
16、HUSH  衣柜歌手
15、还潮  温和下半日
14、萨满乐队  The Lamb Sutra
13、曾轶可  解剖
12、傻子与白痴  OY
11、郑宜农  第一次遇见花香的那刻
Top10、邓加宇  邓加宇们
Top9、丢莱卡  春天音乐
Top8、小老虎/也是福/周士爵  悲极生乐
Top7、脏手指  比咏博
Top6、许钧  美梦公司
Top5、上海彩虹室内合唱团  醉鬼的敬酒曲
Top4、陈建年  海的眼泪
Top3、崔健  飞狗
Top2、苏紫旭&The Paramecia  染浊·在时空3
Top1、声音碎片  黄金时代
